date,week_type,category,topic,status,post_id,url
2026-08-12,SEO,Bao Cao Su,Bao Cao Su chính hãng và hàng trôi nổi: cách phân biệt,PENDING,,
2026-08-13,SEO,Sextoy cho Nữ,So sánh các dòng Sextoy cho Nữ phổ biến: ưu nhược điểm từng loại,PENDING,,
2026-08-14,SEO,Sextoy Cho LGBT,"Mua Sextoy Cho LGBT ở đâu uy tín, giao hàng kín đáo tại Việt Nam?",PENDING,,
2026-08-15,SEO,Máy Massage,"Top 5 Máy Massage bán chạy nhất hiện nay, nên chọn loại nào?",PENDING,,
2026-08-16,SEO,Sextoy Cao Cấp,"Top 5 Sextoy Cao Cấp bán chạy nhất hiện nay, nên chọn loại nào?",PENDING,,
2026-08-17,SEO,Máy Massage,Máy Massage chính hãng và hàng trôi nổi: cách phân biệt,PENDING,,
2026-08-18,GUIDE,Gel Bôi Trơn,Giải đáp thắc mắc thường gặp về Gel Bôi Trơn (FAQ từ khách hàng),PENDING,,
2026-08-19,GUIDE,Nước Hoa,Cách chọn size/loại Nước Hoa phù hợp với cơ địa từng người,PENDING,,
2026-08-20,GUIDE,Gel Bôi Trơn,Cách chọn size/loại Gel Bôi Trơn phù hợp với cơ địa từng người,PENDING,,
2026-08-21,GUIDE,Sextoy Cao Cấp,Sextoy Cao Cấp có ảnh hưởng đến sức khỏe không? Góc nhìn từ chuyên gia,PENDING,,
2026-08-22,GUIDE,Nước Hoa,"Hướng dẫn vệ sinh và bảo quản Nước Hoa đúng cách, dùng được lâu",PENDING,,
2026-08-23,GUIDE,Bao Cao Su,Bao Cao Su có ảnh hưởng đến sức khỏe không? Góc nhìn từ chuyên gia,PENDING,,
2026-08-24,GUIDE,Trứng Rung,Trứng Rung có ảnh hưởng đến sức khỏe không? Góc nhìn từ chuyên gia,PENDING,,
2026-08-25,SEO,Nước Hoa,Giá Nước Hoa bao nhiêu là hợp lý? Bảng giá tham khảo 2026,PENDING,,
2026-08-26,SEO,Sextoy Cho LGBT,So sánh các dòng Sextoy Cho LGBT phổ biến: ưu nhược điểm từng loại,PENDING,,
2026-08-27,SEO,Sextoy cho Nam,Giá Sextoy cho Nam bao nhiêu là hợp lý? Bảng giá tham khảo 2026,PENDING,,
2026-08-28,SEO,Sextoy cho Nam,"Mua Sextoy cho Nam ở đâu uy tín, giao hàng kín đáo tại Việt Nam?",PENDING,,
2026-08-29,SEO,Gel Bôi Trơn,Gel Bôi Trơn loại nào tốt cho người mới bắt đầu?,PENDING,,
2026-08-30,SEO,Sextoy Cao Cấp,So sánh các dòng Sextoy Cao Cấp phổ biến: ưu nhược điểm từng loại,PENDING,,
2026-08-31,SEO,Nước Hoa,Nước Hoa chính hãng và hàng trôi nổi: cách phân biệt,PENDING,,
2026-09-01,GUIDE,Nước Hoa,Nước Hoa có ảnh hưởng đến sức khỏe không? Góc nhìn từ chuyên gia,PENDING,,
2026-09-02,GUIDE,Máy Massage,Máy Massage có ảnh hưởng đến sức khỏe không? Góc nhìn từ chuyên gia,PENDING,,
2026-09-03,GUIDE,Sextoy Cho LGBT,Sextoy Cho LGBT có ảnh hưởng đến sức khỏe không? Góc nhìn từ chuyên gia,PENDING,,
2026-09-04,GUIDE,Sextoy Cao Cấp,Những lưu ý an toàn khi sử dụng Sextoy Cao Cấp lần đầu,PENDING,,
2026-09-05,GUIDE,Sextoy cho Nam,"Hướng dẫn vệ sinh và bảo quản Sextoy cho Nam đúng cách, dùng được lâu",PENDING,,
2026-09-06,GUIDE,Máy Massage,"Hướng dẫn vệ sinh và bảo quản Máy Massage đúng cách, dùng được lâu",PENDING,,
2026-09-07,GUIDE,Sextoy Cho LGBT,Những lưu ý an toàn khi sử dụng Sextoy Cho LGBT lần đầu,PENDING,,
2026-09-08,SEO,Tăng Cường Sinh Lý,Tăng Cường Sinh Lý chính hãng và hàng trôi nổi: cách phân biệt,PENDING,,
2026-09-09,SEO,Sextoy Cao Cấp,"Mua Sextoy Cao Cấp ở đâu uy tín, giao hàng kín đáo tại Việt Nam?",PENDING,,
2026-09-10,SEO,Gel Bôi Trơn,"Mua Gel Bôi Trơn ở đâu uy tín, giao hàng kín đáo tại Việt Nam?",PENDING,,
2026-09-11,SEO,Sextoy cho Nam,Sextoy cho Nam loại nào tốt cho người mới bắt đầu?,PENDING,,
2026-09-12,SEO,Trứng Rung,Giá Trứng Rung bao nhiêu là hợp lý? Bảng giá tham khảo 2026,PENDING,,
2026-09-13,SEO,Gel Bôi Trơn,Gel Bôi Trơn chính hãng và hàng trôi nổi: cách phân biệt,PENDING,,
2026-09-14,SEO,Nước Hoa,"Mua Nước Hoa ở đâu uy tín, giao hàng kín đáo tại Việt Nam?",PENDING,,
2026-09-15,GUIDE,Máy Massage,Những lưu ý an toàn khi sử dụng Máy Massage lần đầu,PENDING,,
2026-09-16,GUIDE,Sextoy cho Nữ,Chính sách bảo mật đơn hàng khi mua Sextoy cho Nữ online — bạn cần biết gì?,PENDING,,
2026-09-17,GUIDE,Sextoy cho Nam,Chính sách bảo mật đơn hàng khi mua Sextoy cho Nam online — bạn cần biết gì?,PENDING,,
2026-09-18,GUIDE,Sextoy cho Nam,Cách chọn size/loại Sextoy cho Nam phù hợp với cơ địa từng người,PENDING,,
2026-09-19,GUIDE,Gel Bôi Trơn,Chính sách bảo mật đơn hàng khi mua Gel Bôi Trơn online — bạn cần biết gì?,PENDING,,
2026-09-20,GUIDE,Gel Bôi Trơn,Những lưu ý an toàn khi sử dụng Gel Bôi Trơn lần đầu,PENDING,,
2026-09-21,GUIDE,Sextoy cho Nữ,"Hướng dẫn vệ sinh và bảo quản Sextoy cho Nữ đúng cách, dùng được lâu",PENDING,,
2026-09-22,SEO,Sextoy cho Nữ,Giá Sextoy cho Nữ bao nhiêu là hợp lý? Bảng giá tham khảo 2026,PENDING,,
2026-09-23,SEO,Bao Cao Su,"Top 5 Bao Cao Su bán chạy nhất hiện nay, nên chọn loại nào?",PENDING,,
2026-09-24,SEO,Bao Cao Su,"Mua Bao Cao Su ở đâu uy tín, giao hàng kín đáo tại Việt Nam?",PENDING,,
2026-09-25,SEO,Sextoy Cho LGBT,Giá Sextoy Cho LGBT bao nhiêu là hợp lý? Bảng giá tham khảo 2026,PENDING,,
